Dur,Proto,Dir,State,sTos,dTos,TotPkts,TotBytes,SrcBytes
1.008773,0,3,892,0,2,148,148.0,0.0
1.0086549999999999,0,3,892,0,2,148,148.0,0.0
1.008473,0,3,892,0,2,148,148.0,0.0
1.008391,0,3,892,0,2,148,148.0,0.0
1.008116,0,3,892,0,2,148,148.0,0.0
1.00801,0,3,892,0,2,148,148.0,0.0
1.007806,0,3,892,0,2,148,148.0,0.0
1.0077049999999999,0,3,892,0,2,148,148.0,0.0
1.007426,0,3,892,0,2,148,148.0,0.0
1.007287,0,3,892,0,2,148,148.0,0.0
